<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20200714,93100,379.44,380.66,379,380.6,19752
US1.AAPL,1,20200714,93200,380.58,380.88,379.57,380.88,13345
US1.AAPL,1,20200714,93300,380.9,383.57,380.9,383.38,15548
US1.AAPL,1,20200714,93400,383.52,384.74,383.52,384.37,18505
US1.AAPL,1,20200714,93500,384.29,385.21,384.29,384.63,16027
US1.AAPL,1,20200714,93600,384.71,384.71,383.67,384.04,8736
US1.AAPL,1,20200714,93700,384.15,384.76,384.15,384.7,9195
US1.AAPL,1,20200714,93800,384.68,384.88,383.92,384.46,5602
US1.AAPL,1,20200714,93900,384.335,384.34,382.88,382.965,7855
US1.AAPL,1,20200714,94000,382.91,383.88,382.88,383.84,9973
US1.AAPL,1,20200714,94100,383.89,385.23,383.68,384.92,12851
US1.AAPL,1,20200714,94200,385.28,386.09,385.25,385.83,13536
US1.AAPL,1,20200714,94300,386,386.3,385.11,386.23,8560
US1.AAPL,1,20200714,94400,386.29,386.4,385.6,386.16,8736
US1.AAPL,1,20200714,94500,386.1,386.1,385.56,385.81,11991
US1.AAPL,1,20200714,94600,385.8,385.94,384.67,385.02,13126
US1.AAPL,1,20200714,94700,385.03,385.09,384.1,384.11,4802
US1.AAPL,1,20200714,94800,384.03,384.34,383.5,383.57,7285
US1.AAPL,1,20200714,94900,383.58,383.77,382.42,382.47,11778
US1.AAPL,1,20200714,95000,382.51,383.15,382.21,382.68,10800
US1.AAPL,1,20200714,95100,382.68,383.26,381.6,381.6,14174
US1.AAPL,1,20200714,95200,381.61,381.76,380.24,380.28,9418
US1.AAPL,1,20200714,95300,380.2,380.28,379.03,379.07,14281
US1.AAPL,1,20200714,95400,379.03,379.91,378.32,379.91,16545
US1.AAPL,1,20200714,95500,379.83,380.77,379.56,380.25,17949
US1.AAPL,1,20200714,95600,380.23,380.47,378.91,380.26,10167
US1.AAPL,1,20200714,95700,380.16,380.29,379.15,380.29,7999
US1.AAPL,1,20200714,95800,380.07,381.01,380.05,381.01,9433
US1.AAPL,1,20200714,95900,381,381.56,380.81,381.46,8511
US1.AAPL,1,20200714,100000,381.41,381.55,380.57,381.47,9244
US1.AAPL,1,20200714,100100,381.52,381.56,381.13,381.2,6829
US1.AAPL,1,20200714,100200,381.37,381.37,380.17,380.17,7583
US1.AAPL,1,20200714,100300,380.48,380.48,379.4,379.48,4866
US1.AAPL,1,20200714,100400,379.63,381.07,379.63,380.38,5054
US1.AAPL,1,20200714,100500,380.27,380.27,379.56,379.7,8774
US1.AAPL,1,20200714,100600,379.65,380.49,379.37,379.89,5874
US1.AAPL,1,20200714,100700,379.88,380.2,379.35,379.66,4213
US1.AAPL,1,20200714,100800,379.96,380.13,379.64,379.77,7555
US1.AAPL,1,20200714,100900,379.77,380.02,379.5,379.7,9968
US1.AAPL,1,20200714,101000,379.5,379.82,379.1,379.13,6777
US1.AAPL,1,20200714,101100,379.13,379.81,379.13,379.45,12329
US1.AAPL,1,20200714,101200,379.15,379.15,377.21,377.23,25964
US1.AAPL,1,20200714,101300,377.16,378.25,377.16,377.23,15073
US1.AAPL,1,20200714,101400,377.24,377.35,375.55,376.03,20616
US1.AAPL,1,20200714,101500,375.56,377,375.51,376.16,9931
US1.AAPL,1,20200714,101600,376.15,376.79,376.11,376.76,12548
US1.AAPL,1,20200714,101700,376.68,377.93,376.68,377.76,8176
US1.AAPL,1,20200714,101800,377.74,377.74,376.62,376.88,7494
US1.AAPL,1,20200714,101900,377.14,377.54,376.95,376.95,4450
US1.AAPL,1,20200714,102000,376.78,377.75,376.75,377.21,9641
US1.AAPL,1,20200714,102100,376.79,378.39,376.49,378.33,11065
US1.AAPL,1,20200714,102200,378.3,378.31,377.92,378.22,5497
US1.AAPL,1,20200714,102300,378.27,378.62,377.79,378.62,6432
US1.AAPL,1,20200714,102400,378.7,378.77,378.29,378.67,4350
US1.AAPL,1,20200714,102500,378.69,378.78,377.53,377.61,6767
US1.AAPL,1,20200714,102600,377.59,378.03,377.05,377.87,5856
US1.AAPL,1,20200714,102700,377.97,378.56,377.83,378.56,6725
US1.AAPL,1,20200714,102800,378.47,378.51,377.89,378.13,11459
US1.AAPL,1,20200714,102900,378.22,378.54,378.05,378.17,7931
US1.AAPL,1,20200714,103000,378.15,379.41,378.09,379.08,6660
US1.AAPL,1,20200714,103100,379.1,380.24,378.99,380.12,11976
US1.AAPL,1,20200714,103200,380.24,380.72,379.99,380.5,7456
US1.AAPL,1,20200714,103300,380.9,381.1,380.8,381.06,2700
US1.AAPL,1,20200714,103400,381.05,381.38,380.85,380.97,5686
US1.AAPL,1,20200714,103500,381.04,381.55,380.86,381.17,3202
US1.AAPL,1,20200714,103600,380.98,381.16,380.7,380.84,7510
US1.AAPL,1,20200714,103700,380.83,380.97,380.23,380.29,6200
US1.AAPL,1,20200714,103800,380.25,380.29,379.305,379.45,7251
US1.AAPL,1,20200714,103900,379.35,379.59,378.98,379.1,4760
US1.AAPL,1,20200714,104000,379.11,379.59,378.75,378.87,4455
US1.AAPL,1,20200714,104100,379.07,379.98,378.89,379.97,2600
US1.AAPL,1,20200714,104200,380,380.01,379.61,379.87,7821
US1.AAPL,1,20200714,104300,380.02,380.23,379.46,380.14,2701
US1.AAPL,1,20200714,104400,380.66,380.82,379.98,380.27,4212
US1.AAPL,1,20200714,104500,380.18,380.18,379.42,379.79,5091
US1.AAPL,1,20200714,104600,380.05,380.11,379.77,379.93,2544
US1.AAPL,1,20200714,104700,379.9,380.07,379.57,379.63,4227
US1.AAPL,1,20200714,104800,379.61,380.18,379.5,380.11,3999
US1.AAPL,1,20200714,104900,380.19,380.79,380.19,380.65,3400
US1.AAPL,1,20200714,105000,380.73,380.74,380.4,380.69,3791
US1.AAPL,1,20200714,105100,380.69,380.69,380.21,380.52,4590
US1.AAPL,1,20200714,105200,380.34,380.55,379.9,380.36,3600
US1.AAPL,1,20200714,105300,380.49,380.74,380.41,380.74,4423
US1.AAPL,1,20200714,105400,380.51,381.41,380.27,381.36,5720
US1.AAPL,1,20200714,105500,381.24,381.65,381.2,381.65,3594
US1.AAPL,1,20200714,105600,381.66,381.69,381.01,381.11,3600
US1.AAPL,1,20200714,105700,380.89,380.94,379.99,379.99,5968
US1.AAPL,1,20200714,105800,380.09,380.44,380.09,380.13,4158
US1.AAPL,1,20200714,105900,380.08,380.08,379.54,379.72,3130
US1.AAPL,1,20200714,110000,379.88,380.05,379.4,379.49,3842
US1.AAPL,1,20200714,110100,379.36,379.76,378.66,378.66,4666
US1.AAPL,1,20200714,110200,378.65,379.53,378.65,379.37,4700
US1.AAPL,1,20200714,110300,379.36,379.81,379.36,379.69,10547
US1.AAPL,1,20200714,110400,379.61,380.46,379.61,380.46,4397
US1.AAPL,1,20200714,110500,380.42,380.59,379.29,379.37,4601
US1.AAPL,1,20200714,110600,379.2,379.31,378.05,378.17,5343
US1.AAPL,1,20200714,110700,378.24,378.84,378.24,378.84,1715
