<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200709,093100,117.7200000,117.7200000,117.2300000,117.3100000,1866
US1.IBM,1,20200709,093200,117.1400000,117.1400000,116.7500000,116.9500000,2241
US1.IBM,1,20200709,093300,117.2500000,117.2500000,117.1400000,117.1400000,400
US1.IBM,1,20200709,093400,116.8700000,116.9000000,116.7900000,116.8600000,600
US1.IBM,1,20200709,093500,116.9200000,117.0600000,116.9200000,117.0300000,1900
US1.IBM,1,20200709,093600,117.0400000,117.1700000,117.0400000,117.1700000,500
US1.IBM,1,20200709,093700,117.1100000,117.2300000,117.1100000,117.2300000,300
US1.IBM,1,20200709,093800,117.0600000,117.0600000,117.0000000,117.0100000,1300
US1.IBM,1,20200709,093900,116.8900000,116.8900000,116.8900000,116.8900000,263
US1.IBM,1,20200709,094000,116.8100000,116.8100000,116.8100000,116.8100000,100
US1.IBM,1,20200709,094200,116.6100000,116.6200000,116.5500000,116.6200000,1000
US1.IBM,1,20200709,094300,116.6600000,116.8200000,116.6600000,116.8200000,300
US1.IBM,1,20200709,094400,116.7400000,116.8200000,116.7400000,116.8200000,300
US1.IBM,1,20200709,094500,116.8200000,116.9100000,116.7400000,116.7400000,665
US1.IBM,1,20200709,094600,116.6700000,116.6700000,116.6500000,116.6600000,300
US1.IBM,1,20200709,094700,116.6900000,116.7200000,116.6200000,116.6200000,653
US1.IBM,1,20200709,094800,116.6400000,116.6400000,116.6400000,116.6400000,100
US1.IBM,1,20200709,095100,116.7800000,116.8300000,116.6700000,116.6700000,1800
US1.IBM,1,20200709,095200,116.6600000,116.6600000,116.6600000,116.6600000,100
US1.IBM,1,20200709,095300,116.5400000,116.5500000,116.4800000,116.4800000,2081
US1.IBM,1,20200709,095400,116.6100000,116.6400000,116.6100000,116.6400000,300
US1.IBM,1,20200709,095500,116.8200000,116.8600000,116.7900000,116.8600000,300
US1.IBM,1,20200709,095600,116.7900000,116.8700000,116.7900000,116.8700000,300
US1.IBM,1,20200709,095700,116.8200000,116.9100000,116.8200000,116.8900000,700
US1.IBM,1,20200709,095800,116.9400000,116.9700000,116.9300000,116.9700000,300
US1.IBM,1,20200709,095900,116.9700000,117.0600000,116.9700000,117.0100000,700
US1.IBM,1,20200709,100000,117.1200000,117.1300000,117.0700000,117.0700000,700
US1.IBM,1,20200709,100100,117.1500000,117.1600000,117.1500000,117.1600000,255
US1.IBM,1,20200709,100200,117.1300000,117.1300000,117.0900000,117.0900000,719
US1.IBM,1,20200709,100400,117.0400000,117.0600000,117.0400000,117.0600000,500
US1.IBM,1,20200709,100500,117.0300000,117.0300000,117.0300000,117.0300000,400
US1.IBM,1,20200709,100600,116.9800000,116.9800000,116.9800000,116.9800000,100
US1.IBM,1,20200709,100800,116.9700000,116.9700000,116.9700000,116.9700000,100
US1.IBM,1,20200709,100900,116.9600000,117.0700000,116.9600000,117.0700000,200
US1.IBM,1,20200709,101000,117.0000000,117.0000000,116.9500000,116.9500000,300
US1.IBM,1,20200709,101100,116.8900000,116.8900000,116.8800000,116.8850000,985
US1.IBM,1,20200709,101200,116.8900000,116.8900000,116.7600000,116.7600000,600
US1.IBM,1,20200709,101300,116.8800000,116.8800000,116.8800000,116.8800000,100
US1.IBM,1,20200709,101400,116.9000000,116.9000000,116.9000000,116.9000000,100
US1.IBM,1,20200709,101500,116.8400000,116.8400000,116.7800000,116.7800000,300
US1.IBM,1,20200709,101700,116.7500000,116.7500000,116.7100000,116.7100000,200
US1.IBM,1,20200709,101800,116.6000000,116.6200000,116.6000000,116.6200000,200
US1.IBM,1,20200709,102000,116.6800000,116.6800000,116.6100000,116.6100000,463
US1.IBM,1,20200709,102100,116.6000000,116.6000000,116.5600000,116.5700000,1679
US1.IBM,1,20200709,102200,116.6000000,116.6000000,116.6000000,116.6000000,100
US1.IBM,1,20200709,102300,116.7500000,116.7500000,116.7500000,116.7500000,542
US1.IBM,1,20200709,102400,116.6800000,116.6800000,116.6800000,116.6800000,100
US1.IBM,1,20200709,102600,116.6900000,116.6900000,116.6900000,116.6900000,200
US1.IBM,1,20200709,102700,116.7400000,116.7400000,116.7400000,116.7400000,100
US1.IBM,1,20200709,102800,116.7250000,116.7250000,116.7250000,116.7250000,100
US1.IBM,1,20200709,102900,116.6600000,116.6600000,116.6400000,116.6400000,359
US1.IBM,1,20200709,103000,116.6500000,116.6500000,116.6500000,116.6500000,100
US1.IBM,1,20200709,103100,116.6800000,116.7500000,116.6700000,116.7400000,800
US1.IBM,1,20200709,103400,116.6600000,116.6600000,116.6600000,116.6600000,100
US1.IBM,1,20200709,103500,116.6000000,116.6000000,116.5900000,116.5900000,300
US1.IBM,1,20200709,103600,116.6100000,116.6100000,116.5600000,116.5600000,300
US1.IBM,1,20200709,103700,116.5000000,116.5200000,116.4800000,116.5000000,1674
US1.IBM,1,20200709,103800,116.5700000,116.5700000,116.5000000,116.5000000,500
US1.IBM,1,20200709,103900,116.4450000,116.4800000,116.3000000,116.3000000,2200
US1.IBM,1,20200709,104000,116.3100000,116.3100000,116.2000000,116.2000000,800
US1.IBM,1,20200709,104100,116.1100000,116.1400000,116.0900000,116.1400000,752
US1.IBM,1,20200709,104200,116.1100000,116.1100000,115.9900000,116.0100000,1957
US1.IBM,1,20200709,104300,116.0400000,116.0400000,115.9800000,115.9800000,500
US1.IBM,1,20200709,104400,116.0100000,116.0100000,115.9600000,115.9600000,650
US1.IBM,1,20200709,104500,115.9300000,115.9300000,115.8800000,115.9200000,400
US1.IBM,1,20200709,104600,115.9100000,115.9800000,115.8500000,115.9800000,1559
US1.IBM,1,20200709,104700,115.9800000,116.0000000,115.9800000,116.0000000,600
US1.IBM,1,20200709,104800,116.0500000,116.0500000,116.0000000,116.0000000,200
US1.IBM,1,20200709,104900,115.9400000,115.9400000,115.9100000,115.9100000,200
US1.IBM,1,20200709,105100,115.7700000,115.7700000,115.7200000,115.7200000,800
US1.IBM,1,20200709,105200,116.0000000,116.0400000,115.8700000,115.9600000,1000
US1.IBM,1,20200709,105300,115.9300000,115.9700000,115.9300000,115.9500000,400
US1.IBM,1,20200709,105400,115.9300000,115.9300000,115.9300000,115.9300000,100
US1.IBM,1,20200709,105500,115.8600000,115.8600000,115.7700000,115.7700000,800
US1.IBM,1,20200709,105600,115.7800000,115.7800000,115.6600000,115.6600000,300
US1.IBM,1,20200709,105700,115.6900000,115.7200000,115.6400000,115.7200000,1000
US1.IBM,1,20200709,105800,115.7500000,115.7500000,115.7200000,115.7200000,200
US1.IBM,1,20200709,105900,115.7000000,115.7200000,115.5900000,115.6000000,2470
US1.IBM,1,20200709,110000,115.6400000,115.7700000,115.6400000,115.7700000,1900
US1.IBM,1,20200709,110100,115.7300000,115.7300000,115.6400000,115.7200000,2164
US1.IBM,1,20200709,110200,115.7000000,115.7000000,115.5800000,115.6200000,2700
US1.IBM,1,20200709,110300,115.5800000,115.5800000,115.4500000,115.4500000,400
US1.IBM,1,20200709,110400,115.4500000,115.4500000,115.4500000,115.4500000,100
US1.IBM,1,20200709,110500,115.4600000,115.4600000,115.4500000,115.4500000,200
US1.IBM,1,20200709,110600,115.3900000,115.5200000,115.3900000,115.5200000,300
US1.IBM,1,20200709,110700,115.6600000,115.6700000,115.6600000,115.6700000,202
US1.IBM,1,20200709,110800,115.4900000,115.5100000,115.4900000,115.5100000,300
US1.IBM,1,20200709,110900,115.6700000,115.6800000,115.6700000,115.6800000,300
US1.IBM,1,20200709,111100,115.6300000,115.6300000,115.5600000,115.5600000,200
US1.IBM,1,20200709,111200,115.5700000,115.5700000,115.5700000,115.5700000,300
US1.IBM,1,20200709,111300,115.6700000,115.6800000,115.6700000,115.6700000,300
US1.IBM,1,20200709,111400,115.7000000,115.7000000,115.6900000,115.6900000,200
US1.IBM,1,20200709,111500,115.7500000,115.7500000,115.7400000,115.7400000,200
US1.IBM,1,20200709,111600,115.6700000,115.7100000,115.6500000,115.7100000,400
US1.IBM,1,20200709,111700,115.5900000,115.6000000,115.5200000,115.5200000,1700
US1.IBM,1,20200709,111800,115.3700000,115.3700000,115.3400000,115.3400000,800
US1.IBM,1,20200709,111900,115.3500000,115.3500000,115.3300000,115.3300000,200
US1.IBM,1,20200709,112000,115.3600000,115.3600000,115.2500000,115.2500000,1065
US1.IBM,1,20200709,112100,115.2100000,115.3600000,115.2100000,115.3600000,799
US1.IBM,1,20200709,112200,115.2800000,115.4600000,115.2100000,115.4200000,5413
US1.IBM,1,20200709,112300,115.4200000,115.4900000,115.4100000,115.4500000,1315
US1.IBM,1,20200709,112400,115.4200000,115.4200000,115.4000000,115.4200000,300
US1.IBM,1,20200709,112600,115.3500000,115.3600000,115.3500000,115.3600000,200
US1.IBM,1,20200709,112700,115.3200000,115.3600000,115.2800000,115.3400000,1637
US1.IBM,1,20200709,112800,115.4700000,115.6200000,115.4600000,115.6200000,1840
US1.IBM,1,20200709,112900,115.4600000,115.4600000,115.3700000,115.3700000,400
US1.IBM,1,20200709,113000,115.5200000,115.5200000,115.5000000,115.5000000,200
US1.IBM,1,20200709,113100,115.6200000,115.6200000,115.6200000,115.6200000,200
US1.IBM,1,20200709,113200,115.7000000,115.7000000,115.6700000,115.6700000,300
US1.IBM,1,20200709,113300,115.5700000,115.6800000,115.5200000,115.6300000,1100
US1.IBM,1,20200709,113400,115.6600000,115.6600000,115.6250000,115.6300000,300
US1.IBM,1,20200709,113500,115.5900000,115.6600000,115.5900000,115.6000000,500
US1.IBM,1,20200709,113600,115.5600000,115.6700000,115.5600000,115.6700000,400
US1.IBM,1,20200709,113700,115.5900000,115.6900000,115.5900000,115.6900000,300
US1.IBM,1,20200709,113800,115.7100000,115.7100000,115.7100000,115.7100000,100
US1.IBM,1,20200709,113900,115.6300000,115.6300000,115.5500000,115.5500000,400
US1.IBM,1,20200709,114000,115.5200000,115.5400000,115.5000000,115.5400000,924
US1.IBM,1,20200709,114100,115.4700000,115.4700000,115.3600000,115.3600000,700
US1.IBM,1,20200709,114200,115.3500000,115.3800000,115.3400000,115.3800000,500
US1.IBM,1,20200709,114300,115.3200000,115.3200000,115.2100000,115.2100000,1200
US1.IBM,1,20200709,114400,115.2000000,115.2300000,115.2000000,115.2300000,500
US1.IBM,1,20200709,114600,115.3600000,115.3600000,115.3600000,115.3600000,100
US1.IBM,1,20200709,114700,115.5000000,115.5000000,115.5000000,115.5000000,200
US1.IBM,1,20200709,114800,115.4850000,115.5900000,115.4850000,115.5900000,700
US1.IBM,1,20200709,114900,115.6050000,115.6800000,115.6000000,115.6800000,400
US1.IBM,1,20200709,115000,115.6200000,115.6300000,115.6200000,115.6300000,300
US1.IBM,1,20200709,115100,115.6000000,115.6000000,115.6000000,115.6000000,200
US1.IBM,1,20200709,115200,115.5900000,115.6000000,115.5900000,115.6000000,200
US1.IBM,1,20200709,115300,115.5600000,115.5600000,115.5600000,115.5600000,100
US1.IBM,1,20200709,115400,115.6400000,115.7200000,115.6400000,115.7200000,700
US1.IBM,1,20200709,115500,115.7850000,115.8000000,115.7800000,115.7800000,600
US1.IBM,1,20200709,115600,115.7400000,115.7400000,115.7400000,115.7400000,100
US1.IBM,1,20200709,115700,115.8000000,115.8300000,115.7700000,115.8300000,800
US1.IBM,1,20200709,115800,115.8100000,115.8300000,115.7900000,115.8300000,400
US1.IBM,1,20200709,120000,115.8200000,115.8200000,115.8100000,115.8200000,400
US1.IBM,1,20200709,120100,115.8300000,115.8300000,115.8300000,115.8300000,100
US1.IBM,1,20200709,120200,115.9400000,115.9400000,115.9100000,115.9100000,200
US1.IBM,1,20200709,120300,116.0400000,116.1000000,116.0400000,116.0900000,500
US1.IBM,1,20200709,120400,116.2000000,116.2200000,116.1700000,116.1700000,1300
US1.IBM,1,20200709,120500,116.1800000,116.2000000,116.1700000,116.1700000,5398
